fold_energy,seed_match_count,seed_match_full,mirna_au_count,mirna_au_frac,count_matches,frac_matches,len_target_reg,longest_pairing,3p_mirna_match_count,seed_3p_diff,positive
-8.80,0,0,11,0.5,9,0.4090909090909091,10,7,7,-7,1
-5.80,0,0,13,0.5652173913043478,6,0.2608695652173913,6,6,1,-1,1
-24.50,4,0,7,0.3333333333333333,16,0.7619047619047619,18,16,5,-1,1
-28.90,6,1,8,0.36363636363636365,13,0.5909090909090909,13,9,0,6,1
-26.40,5,0,9,0.4090909090909091,17,0.7727272727272727,20,13,3,2,1
-31.40,6,1,7,0.3333333333333333,20,0.9523809523809523,24,12,7,-1,1
-23.80,3,0,8,0.38095238095238093,13,0.6190476190476191,13,13,3,0,1
-15.70,3,0,7,0.3333333333333333,10,0.47619047619047616,14,6,1,2,1
-25.60,4,0,7,0.3181818181818182,17,0.7727272727272727,19,12,5,-1,1
-2.40,0,0,11,0.4782608695652174,7,0.30434782608695654,7,4,2,-2,1
-19.50,6,1,12,0.5454545454545454,11,0.5,11,11,0,6,1
-14.80,0,0,12,0.5217391304347826,13,0.5652173913043478,16,12,5,-5,1
-14.10,5,0,13,0.5909090909090909,14,0.6363636363636364,18,6,5,0,1
-12.10,1,0,7,0.3888888888888889,10,0.5555555555555556,12,7,5,-4,1
-20.70,3,0,7,0.3333333333333333,11,0.5238095238095238,12,10,1,2,1
-23.80,6,1,12,0.5454545454545454,16,0.7272727272727273,16,13,3,3,1
-5.70,1,0,12,0.5454545454545454,9,0.4090909090909091,17,4,5,-4,1
-21.10,1,0,9,0.45,13,0.65,20,13,6,-5,1
-16.30,5,0,13,0.5652173913043478,14,0.6086956521739131,26,7,1,4,1
-8.40,2,0,8,0.38095238095238093,10,0.47619047619047616,15,6,3,-1,1
-17.70,4,0,9,0.47368421052631576,10,0.5263157894736842,11,7,1,3,1
-9.70,0,0,11,0.5,10,0.45454545454545453,12,7,7,-7,1
-23.50,3,0,10,0.45454545454545453,14,0.6363636363636364,15,6,5,-2,1
-4.10,0,0,12,0.5714285714285714,10,0.47619047619047616,14,4,4,-4,1
-2.70,5,0,9,0.47368421052631576,5,0.2631578947368421,5,5,0,5,1
-14.50,2,0,9,0.4090909090909091,13,0.5909090909090909,15,7,5,-3,1
